Frame #,Elbow Pink X,Elbow Pink Y,Hand Pink X,Hand Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y
1,722.5,971.2409668,968.1245117,872.5230103,264.882019,998.659302,495.5,1007.5
2,722.5529175,971.7843018,968.3515625,873.1275024,264.918854,998.578247,495.661072,1007.66107
3,722.7345581,972.3193359,969.7281494,873.5791626,264.794159,998.680481,495.661072,1007.66107
4,722.7345581,972.3193359,970.5,875.0883179,264.794159,998.680481,495.643066,1008.12097
5,723.8345337,973.3601074,971.5,876.5,264.701263,998.760986,495.643066,1008.12097
6,724.3311768,973.6236572,972.5992432,877.9198608,264.794159,998.680481,495.590149,1008.40985
7,724.2654419,974.6806641,973.7281494,879.5791626,264.79129,998.726746,495.643066,1008.87903
8,724.4769897,974.8754883,974.5,880.5,264.770477,998.877197,495.5,1009
9,724.800415,975.7600708,975.9944458,882.666687,264.569336,998.911499,495.666656,1009.19421
10,725.2409668,976.5,976.3585815,884.3585815,264.475342,998.79071,495.661072,1009.66107
11,725.8345337,977.6398926,977.1084595,886.1606445,264.5,999,495.661072,1009.66107
12,725.2666626,978.5,977.5,887.5,264.366821,998.814331,495.672363,1009.73218
13,725.1865845,979.6205444,978.1245117,888.8237305,264.366821,998.814331,495.643066,1010.12097
14,724.8917236,980.3917236,978.3917236,890.1082764,264.366821,998.814331,495.5,1011
15,725.1674805,980.7495728,978.9192505,891.4072266,264.366821,998.814331,495.5,1011
16,725.1674805,980.7495728,978.9192505,891.4072266,264.366821,998.814331,495.5,1011
17,725.1865845,981.6205444,979.5,893.5,264.366821,998.814331,495.5,1011
18,726.0396729,982.0396729,979.3678589,894.6280518,264.366821,998.814331,495.5,1011
19,725.6391602,982.0343628,979.8225708,895.6021729,264.366821,998.814331,495.643066,1011.12097
20,725.6391602,982.0343628,980.2653198,896.7479248,264.366821,998.814331,495.643066,1011.12097
21,726.1762695,982.1245117,980.2504272,897.1674805,264.366821,998.814331,495.643066,1011.12097
22,725.8112793,982.2927856,980.3143921,897.3048706,264.366821,998.814331,495.643066,1011.12097
23,726,982.5,980.2504272,897.8325195,264.366821,998.814331,495.5,1011
24,726,982.5,980.3570557,897.7377319,264.366821,998.814331,495.643066,1011.12097
25,726,982.5,980.164856,898.5143433,264.366821,998.814331,495.5,1011
26,726,982.5,979.6082764,899.3126221,264.366821,998.814331,495.5,1011
27,725.9198608,982.8287964,979.5,899.5,264.543365,998.864563,495.5,1011
28,725.6391602,982.9656372,979.0443115,899.5,264.921234,998.853699,495.5,1011
29,725.6391602,982.9656372,978.9603271,900.0396729,264.921234,998.853699,495.5,1011
30,725.6391602,982.9656372,978.8754883,900.1762695,264.921234,998.853699,495.735626,1010.93964
31,725.2495117,983.1005859,979.2409668,900.5,264.921234,998.853699,495.735626,1010.93964
32,725.2495117,983.1005859,979.2409668,900.5,264.974884,998.846558,495.735626,1010.93964
33,725.3794556,983.4528198,979,900.5,265.357727,998.898376,495.735626,1010.93964
34,725.2389526,983.6104126,978.7796021,901.1293335,265.440491,998.996033,495.735626,1010.93964
35,725.2389526,983.6104126,978.5,901.7333374,265.649261,998.808594,495.735626,1010.93964
36,725.3026733,984.149292,978.3585815,902.3585815,265.649261,998.808594,495.735626,1010.93964
37,725.1390381,984.3394775,978.5,902.5,265.921234,998.710266,495.735626,1010.93964
38,725,984.5,978.5,902.5,265.921234,998.710266,495.735626,1010.93964
39,725,984.5,977.7600708,902.800415,265.921234,998.710266,496,1011
40,724.6414185,984.6414185,978.0922852,903.7815552,265.921234,998.710266,496,1011
41,724.4769897,984.8754883,977.7333374,904.5,266,998.5,496,1011
42,724.3830566,985.0423584,978.1245117,904.8237305,265.94516,998.56134,496,1011
43,724.6829224,985.4085083,978.0922852,905.2184448,266.360992,998.761902,496,1011
44,724.6744385,985.6550293,978.0396729,906.0396729,266.360992,998.761902,496,1011
45,724.7157593,985.9141235,978.3193359,906.7345581,266.360992,998.761902,496,1011
46,724.5,986.227417,978.1762695,906.8754883,266.360992,998.761902,496,1011
47,724.1245117,986.1762695,978.0922852,907.2184448,266.360992,998.761902,496,1011
48,723.9944458,986.333313,978.0343628,907.6391602,266.247742,998.842346,496,1011
49,723.7333374,986.5,978.0343628,907.6391602,266.360992,998.761902,495.735626,1010.93964
50,724.227417,986.5,977.5678101,907.9729004,266.360992,998.761902,496.321838,1010.93964
51,724.1351929,987.0220337,977.8609619,908.3394775,266.399689,998.600342,496.5,1011
52,724.2504272,987.1674805,977.7333374,908.5,266.399689,998.600342,496.5,1011
53,724.5,987.5,977.8571167,909.1190186,266.399689,998.600342,496.5,1011
54,724.3735962,988.1433105,977.9556885,909.5,266.399689,998.600342,496.5,1011
55,724.3735962,988.1433105,977.8609619,910.3394775,266.399689,998.600342,496.643066,1010.87903
56,724.1082764,988.6082764,977.7333374,910.5,266.399689,998.600342,496.72464,1010.86377
57,724.1082764,988.6082764,977.7281494,911.4208374,266.399689,998.600342,496.72464,1010.86377
58,723.6951294,988.6856079,977.8410034,911.670105,266.5,998.5,496.72464,1010.86377
59,723.6602173,989.0048218,977.7333374,912.5,266.6315,998.63147,496.72464,1010.86377
60,723.6205444,989.4196167,977.8410034,913.329895,266.732025,998.524536,496.72464,1010.86377
61,723.5380859,989.7079468,977.9556885,913.5,266.732025,998.524536,496.631439,1011.11108
62,723.5380859,989.7079468,977.7333374,914.5,266.732025,998.524536,496.637329,1011.17865
63,723.6391602,990.0343628,977.8571167,915.1190186,266.732025,998.524536,496.552002,1011.12531
64,723.8325195,990.2504272,977.9556885,915.5,266.732025,998.524536,496.552002,1011.12531
65,724.0635986,990.4381714,977.7333374,916.5,266.732025,998.524536,496.396454,1011.13385
66,723.956665,990.5449829,977.6321411,916.6280518,266.94812,998.48584,496.396454,1011.13385
67,723.6046753,990.6220703,977.8571167,917.1190186,267.136719,998.611389,496.289215,1011.06372
68,723.7636108,991.1122437,977.3917236,917.6873779,267.136719,998.611389,496.289215,1011.06372
69,723.6771851,991.2421265,977.3763428,918.3311768,267.136719,998.611389,495.944458,1011.12433
70,723.6771851,991.2421265,977.5,918.5,267.96402,998.405334,496.092865,1011.42145
71,723.2052612,991.3912354,977.5,918.8535767,268.325287,998.529785,495.944458,1011.12433
72,723.2052612,991.3912354,977.5,918.8535767,268.363647,998,496.414215,1011.26227
73,723.2052612,991.3912354,977.3389282,919.6610718,268.363647,998,496.414215,1011.26227
74,723.2052612,991.3912354,977.2399292,918.800415,268.5,997.277283,496.218384,1011.31262
75,723.7642822,991.4769897,977.2399292,918.800415,269.681366,997.36438,496.316772,1011.38531
76,723.7642822,991.4769897,977.1390381,918.6605225,270.596649,997.185669,496.316772,1011.38531
77,723.7642822,991.4769897,977.1390381,918.6605225,272.153717,996.72168,496.316772,1011.38531
78,723.7642822,991.4769897,977.1390381,918.6605225,272.895233,996.480957,496.316772,1011.38531
79,723.6724854,991.3798218,976.1245117,918.8237305,274.377167,996.020325,496.316772,1011.38531
80,723.5,991.3713989,976.2654419,918.6806641,276.082916,995.252014,496.396454,1011.13385
81,723.1937256,990.8833618,976.2654419,918.6806641,277.16275,994.571228,496.387177,1011.06921
82,722.9603271,990.9603271,976.1245117,918.5230103,278.895233,994.480957,496.396454,1011.13385
83,722.9603271,990.9603271,975.8609619,918.3394775,281.256622,993.351013,496.289215,1011.06372
84,722.9603271,990.9603271,975.9483032,918.0230103,283.872314,992.679932,496.090454,1010.94574
85,722.5576782,990.944458,975.6205444,917.8134155,286.95462,992.395935,496.214661,1010.96973
86,722.5529175,991.2156982,975.2718506,917.5791626,290.395721,992.307068,495.943542,1011.05377
87,722.5529175,991.2156982,975.1428833,917.2877197,290.395721,992.307068,495.926239,1010.98358
88,722.333313,991.0055542,975.1428833,917.2877197,297.210175,991.438416,496.090454,1010.94574
89,722.5,991.2666626,975.3601074,917.1654663,301.120453,990.554626,496.08905,1011.01526
90,722.6596069,991.2363281,975.5,916.8535767,305.191345,990.101624,496.090454,1010.94574
91,722.666687,991.0055542,975.5,916.8535767,310.035095,989.403503,495.943542,1011.05377
92,722.6596069,991.2363281,975.8609619,916.6605225,314.033173,988.622925,496.289215,1011.06372
93,722.7796021,991.1293335,976.3193359,916.7345581,319.27597,988.147278,496.309509,1011.19049
94,722.7796021,991.1293335,976.6414185,916.6414185,324.673126,987.514587,496.132385,1011.22931
95,722.7796021,991.1293335,976.6414185,916.6414185,330.326569,987.930603,496.5,1011.5
96,722.7796021,991.1293335,976.5,916.5,335.182281,987.774292,496.305756,1011.62909
97,722.7796021,991.1293335,976.5,916.5,341.391724,988.25238,496.5,1011.5
98,722.7796021,991.1293335,976.5,916.5,347.054047,989.495483,496.5,1011.5
99,722.7796021,991.1293335,976.5,916.5,352.428864,990.011719,496.5,1011.5
100,722.7796021,991.1293335,976.5,916.5,356.463928,991.261169,496.418884,1012.06195
101,722.7796021,991.1293335,976.5,916.5,356.463928,991.261169,496.717712,1011.8949
102,724.3585815,992.3585815,978.5,918.5,222.5,948.676453,497.041656,1011.9375
103,724.3193359,992.7345581,978.7345581,918.6806641,222.5,948.676453,497.171326,1012.06232
104,724.4769897,992.8754883,978.9077148,919.2184448,222.5,948.676453,497.5,1012
105,724.4769897,992.8754883,978.9077148,919.2184448,222.5,948.676453,497.5,1012
106,725.7972412,993.7508545,980.5,920.5,224.162704,950.982117,497.605774,1012.08655
107,726.1245117,994.5230103,980.6806641,920.7345581,224.310562,950.840576,497.670166,1012.61755
108,726.1245117,994.5230103,980.6806641,920.7345581,224.561401,951.204651,498,1012.7597
109,726.1245117,994.5230103,980.6806641,920.7345581,224.561401,951.204651,497.8591,1013.14087
110,726.1245117,994.5230103,980.6806641,920.7345581,224.561401,951.204651,497.8591,1013.14087
111,726.1245117,994.5230103,980.6806641,920.7345581,224.561401,951.204651,498,1013.26794
112,726.1245117,994.5230103,980.6806641,920.7345581,224.561401,951.204651,498,1013.26794
113,726.1245117,994.5230103,980.6806641,920.7345581,224.561401,951.204651,498.019226,1013.34613
114,726.1245117,994.5230103,980.6806641,920.7345581,224.994705,952.037048,498.019226,1013.34613
115,726.1245117,994.5230103,980.6806641,920.7345581,224.994705,952.037048,498.019226,1013.34613
116,726.1245117,994.5230103,980.6806641,920.7345581,224.994705,952.037048,498.019226,1013.34613
117,726.1245117,994.5230103,980.6806641,920.7345581,224.994705,952.037048,498.019226,1013.34613
118,726.1245117,994.5230103,980.6806641,920.7345581,224.994705,952.037048,497.689758,1013.53137
119,726.1245117,994.5230103,980.6806641,920.7345581,224.994705,952.037048,497.689758,1013.53137
120,726.1245117,994.5230103,980.6806641,920.7345581,224.443451,952.367554,497.689758,1013.53137
121,726.1245117,994.5230103,980.6806641,920.7345581,224.287949,952.578735,497.682526,1013.68256
122,726.1245117,994.5230103,980.6806641,920.7345581,224.207809,952.610901,497.534088,1014.23486
123,726.1245117,994.5230103,980.6806641,920.7345581,224.168747,952.638977,497.510864,1013.92389
124,726.1245117,994.5230103,980.6806641,920.7345581,224.168747,952.638977,497.3367,1013.86194
125,726.1245117,994.5230103,980.6806641,920.7345581,224.168747,952.638977,497.5,1014
126,726.1245117,994.5230103,980.6806641,920.7345581,224.090515,952.514343,497.5,1014
127,726.1245117,994.5230103,980.6806641,920.7345581,224.206635,952.239807,497.689392,1013.94318
128,726.1245117,994.5230103,980.6806641,920.7345581,224.206635,952.239807,497.5,1014
129,726.1245117,994.5230103,980.6806641,920.7345581,224.206635,952.239807,497.689392,1013.94318
130,726.1245117,994.5230103,980.6806641,920.7345581,224.206635,952.239807,497.5,1014
131,726.1245117,994.5230103,980.6806641,920.7345581,224.04808,951.967957,497.689392,1013.94318
132,726.1245117,994.5230103,980.6806641,920.7345581,224.04808,951.967957,497.310242,1014.15509
133,726.1245117,994.5230103,980.6806641,920.7345581,224.029709,951.805298,497.5,1014
134,225.0502319,950.210022,981.5,932.5,224.029709,951.805298,497.5,1014
135,225.0502319,950.210022,981.5,932.5,223.992981,951.635071,497.676971,1013.8385
136,725.3224487,999.6383667,981.8609619,932.6605225,223.889511,951.400757,497.730927,1014.35339
137,725.1411743,999.9117432,981.8609619,932.6605225,223.38063,950.925659,498.581299,1014.08539
138,725.7600708,1000.199585,981.6236572,932.6688232,222.721085,949.938782,498.766327,1013.79041
139,725.7600708,1000.199585,981.6236572,932.6688232,222.721085,949.938782,498.766327,1013.79041
140,725.7600708,1000.199585,981.6236572,932.6688232,222.721085,949.938782,498.705414,1014.18604
141,725.7600708,1000.199585,981.6236572,932.6688232,355.396149,997.826111,498.766327,1013.79041
142,725.7600708,1000.199585,981.6236572,932.6688232,351.591553,996.835693,498.766327,1013.79041
