Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,Head Pink X,Head Pink Y
46,968.7653809,909.7061768,723.206665,998.2198486,496.3102417,1012.15509,262.9481201,998.7609863
47,968.6856689,909.8066406,723.0341187,998.4987183,496.3333435,1012.897705,262.9690247,999.1784668
48,968.5,910.5,723.0112915,998.5426025,496.3259277,1012.977783,263.3678589,999.1102295
49,968.6195679,911.3695679,723.0271606,998.7286987,496.3259277,1012.977783,264.1210938,999.1210938
50,968.8884888,911.6464844,722.9219971,998.8666382,496.3259277,1012.977783,264.4300232,999.1500854
51,969.022583,911.8095093,722.9219971,998.8666382,496.5113525,1013.098511,264.4681702,999.3696899
52,968.9608765,912.0664063,722.9813232,998.9154053,496.5113525,1013.098511,264.8956604,999.2492676
53,968.9411621,912.2503052,722.763916,999.0505981,496.5113525,1013.098511,265.0697327,999.098999
54,968.9411621,912.2503052,722.7598877,999.1340942,496.5113525,1013.098511,265.7270203,999.1920166
55,968.7176514,913.1613159,722.4580078,999.2791138,496.3824463,1013.329834,266.5221252,999.2359619
56,968.7176514,913.1613159,722.4580078,999.2791138,496.3824463,1013.329834,266.4730835,999.1776123
57,968.7176514,913.1613159,722.6568604,999.3052979,496.3824463,1013.329834,266.6184082,999.1342163
58,968.7967529,913.2625122,722.9299316,999.4656372,496.3824463,1013.329834,266.6184082,999.1342163
59,968.7967529,913.2625122,722.7493286,999.4742432,496.3824463,1013.329834,266.6184082,999.1342163
60,968.9910278,913.4094238,722.7989502,999.5872803,496.3824463,1013.329834,266.6184082,999.1342163
61,968.8096924,913.7478638,722.8970947,999.6790161,496.3824463,1013.329834,266.9525757,999.0258789
62,968.7176514,913.6464844,722.5257568,999.9019775,496.3824463,1013.329834,266.9525757,999.0258789
63,969.1161499,913.6325684,722.9429932,1000.150818,496.5935669,1013.114014,266.9525757,999.0258789
64,969.2418823,914.1481323,722.9711304,1000.425964,496.6609192,1013.129333,267,999
65,969.2965698,914.4742432,722.9490967,1000.381836,496.5935669,1013.114014,267,999
66,969.2255859,914.9644165,722.9318848,1000.451599,496.5935669,1013.114014,267,999
67,969.2246704,915.5629883,723.0621948,1000.677856,497.3436584,1013.010315,267.4534912,999
68,969.2246704,915.5629883,722.9318848,1000.451599,497.2106628,1012.978638,267.5196838,999.059082
69,969.1161499,915.6325684,722.5971069,1000.565613,497.0808105,1013.151489,267.846283,999.3348389
70,968.9586182,916.0126343,722.6487427,1000.68335,497.0808105,1013.151489,268.0045166,999.2642822
71,968.8908691,915.805481,722.7856445,1001.14801,497.2107849,1013.176453,268.383728,999.3138428
72,969.0543823,916.1481323,722.7856445,1001.14801,496.9249878,1013.361084,268.383728,999.3138428
73,968.9840698,916.3602905,722.7856445,1001.14801,497.2107849,1013.176453,268.383728,999.3138428
74,968.7702026,917.0151367,722.880127,1001.249695,497.2107849,1013.176453,268.383728,999.3138428
75,969.0569458,917.2870483,722.8641357,1001.203796,497.2107849,1013.176453,268.383728,999.3138428
76,969.2246704,917.5049438,723.0439453,1001.183167,497.2107849,1013.176453,268.2950439,999.3891602
77,969.4268188,917.944458,722.8113403,1000.948303,497.2107849,1013.176453,268.1862793,999.4901733
78,969.2969971,917.977417,722.6715698,1001.045349,497.2107849,1013.176453,268.2792664,999.0630493
79,969.2969971,917.977417,722.6469116,1001.004944,497.2107849,1013.176453,268.2792664,999.0630493
80,969.2521362,918.1903076,722.6715698,1001.045349,497.2107849,1013.176453,268.1754456,998.9692993
81,969.2521362,918.1903076,722.6767578,1001.242432,497.2150574,1013.52417,268.1754456,998.9692993
82,969.3535156,918.2823486,722.7061768,1001.380249,497.2150574,1013.52417,268.1754456,998.9692993
83,969.3535156,918.2823486,722.7061768,1001.380249,497.2150574,1013.52417,268.1754456,998.9692993
84,969.3535156,918.2823486,722.7061768,1001.380249,497.2150574,1013.52417,268.1754456,998.9692993
85,969.5887451,918.2592773,722.2172852,1001.503357,497.2150574,1013.52417,268.1754456,998.9692993
86,969.5887451,918.2592773,722.328064,1001.372681,497.2150574,1013.52417,268.1462708,999.0787354
87,969.5887451,918.2592773,722.328064,1001.372681,497.0395508,1013.440674,268.4330444,998.9241333
88,969.5887451,918.2592773,722.328064,1001.372681,496.6506348,1013.538452,268.5,999
89,969.4849854,918.1594849,722.4959106,1001.351074,497.0395508,1013.440674,268.5669556,999.0758667
90,969.7365112,917.8676758,722.4959106,1001.351074,496.6506348,1013.538452,268.5669556,999.0758667
91,969.7365112,917.8676758,722.4959106,1001.351074,497.0395508,1013.440674,268.5669556,999.0758667
92,969.5500488,917.7078857,722.4959106,1001.351074,497.0395508,1013.440674,268.5669556,999.0758667
93,969.5500488,917.7078857,722.4959106,1001.351074,496.8790588,1013.356934,268.5669556,999.0758667
94,969.5,917.5,722.4959106,1001.351074,496.8790588,1013.356934,268.5669556,999.0758667
95,969.4499512,917.2921143,722.4959106,1001.351074,496.8790588,1013.356934,268.5669556,999.0758667
96,969.4499512,917.2921143,722.4959106,1001.351074,496.6506348,1013.538452,268.5669556,999.0758667
97,969.6323242,917.1323242,722.4959106,1001.351074,496.6506348,1013.538452,268.5669556,999.0758667
98,969.6323242,917.1323242,723.2745361,1000.783142,496.5,1013.5,268.5669556,999.0758667
99,969.6323242,917.1323242,723.2745361,1000.783142,496.6506348,1013.538452,268.5669556,999.0758667
100,969.8374634,917.194519,723.2892456,1000.91864,496.4385986,1013.268188,268.5669556,999.0758667
101,969.8374634,917.194519,723.2745361,1000.783142,496.6506348,1013.538452,268.6184082,999.1342163
102,969.6529541,917.3470459,723.2520142,1000.828186,496.7888794,1013.108337,268.6184082,999.1342163
103,970.0772095,917.9019775,723.2141113,1001.218994,496.6506348,1013.538452,268.6184082,999.1342163
104,969.9019775,918.0772095,723.4163818,1001.489014,496.4385986,1013.268188,268.6184082,999.1342163
105,969.9733276,918.1640015,723.4401855,1001.448303,496.6506348,1013.538452,268.6184082,999.1342163
106,970.5,918.5,723.3875732,1001.612427,496.7327271,1013.303284,268.5669556,999.0758667
107,970.2415771,918.5780029,723.3875732,1001.612427,496.6506348,1013.538452,268.5669556,999.0758667
108,970.494812,918.8100586,723.2068481,1001.583069,496.6609192,1013.129333,268.5669556,999.0758667
109,970.8137817,919.3657227,723.1503296,1001.857788,496.6506348,1013.538452,268.5669556,999.0758667
110,970.8137817,919.3657227,723.1503296,1001.857788,496.7327271,1013.303284,268.5669556,999.0758667
111,970.9319458,919.5,723.1503296,1001.857788,496.6506348,1013.538452,268.5669556,999.0758667
112,970.9319458,919.5,723.0464478,1001.929749,496.2677917,1013.672363,268.6651306,999.1537476
113,971.0189819,919.6097412,723.102356,1002.484253,496.6506348,1013.538452,268.6651306,999.1537476
114,970.9804077,919.8366089,723.102356,1002.484253,496.6506348,1013.538452,268.9260864,999.218811
115,970.9804077,919.8366089,723.3396606,1002.465149,496.6506348,1013.538452,268.9260864,999.218811
116,970.888916,919.9437866,723.3396606,1002.465149,496.6506348,1013.538452,268.9260864,999.218811
117,970.888916,919.9437866,723.3396606,1002.465149,496.6506348,1013.538452,268.9260864,999.218811
118,970.9840698,920.1899414,723.3396606,1002.465149,496.6506348,1013.538452,268.9260864,999.218811
119,970.9840698,920.1899414,723.3396606,1002.465149,496.6506348,1013.538452,268.9260864,999.218811
120,970.9840698,920.1899414,723.3396606,1002.465149,496.6506348,1013.538452,268.8748169,999.1251831
121,971.0739136,920.0927124,723.6018677,1002.583313,496.5275269,1013.701477,268.806366,999.0525513
122,971.0739136,920.0927124,723.6018677,1002.583313,496.4354858,1013.397827,268.806366,999.0525513
123,971.2522583,920.2797241,723.3110352,1002.525818,496.5275269,1013.701477,268.8948059,998.7214966
124,971.2522583,920.2797241,723.3110352,1002.525818,496.5275269,1013.701477,269.2565308,998.7873535
125,971.2522583,920.2797241,723.3110352,1002.525818,496.5275269,1013.701477,269.3292847,998.7301025
126,971.4318237,920.375,723.3110352,1002.525818,496.5275269,1013.701477,269.3292847,998.7301025
127,971.4318237,920.375,723.3110352,1002.525818,496.5275269,1013.701477,269.3292847,998.7301025
128,971.4318237,920.375,723.3635254,1002.607666,496.7461853,1013.388367,269.3292847,998.7301025
129,971.4318237,920.375,723.4483032,1002.639343,496.5275269,1013.701477,269.3292847,998.7301025
130,971.4318237,920.375,723.4407349,1002.778259,496.5625,1013.369812,269.1549377,998.984375
131,971.4318237,920.375,723.4407349,1002.778259,496.5625,1013.369812,269.0510864,999.125
132,971.3666382,920.5,723.4407349,1002.778259,496.5625,1013.369812,269.0510864,999.125
133,971.3078003,920.7075195,723.4407349,1002.778259,496.5625,1013.369812,269.0510864,999.125
134,971.3078003,920.7075195,723.4407349,1002.778259,496.5625,1013.369812,269.0510864,999.125
135,971.3738403,920.5830078,723.4407349,1002.778259,496.5625,1013.369812,269.0510864,999.125
136,971.3666382,920.5,723.4407349,1002.778259,496.5625,1013.369812,269.0510864,999.125
137,971.3666382,920.5,723.4407349,1002.778259,496.5,1013.348694,269.0510864,999.125
138,971.3795166,920.8264771,723.5,1002.721741,496.5,1013.348694,268.9986572,999.1178589
139,971.5457153,920.8983154,723.5,1002.721741,496.1424255,1013.857605,268.777771,999.1463013
140,971.3795166,920.8264771,723.2954102,1002.903809,496.1424255,1013.857605,268.7879944,999.098999
141,971.3795166,920.8264771,723.230957,1003.080078,496.1424255,1013.857605,268.806366,999.0525513
142,971.2634888,921.1323242,723.230957,1003.080078,496.1424255,1013.857605,268.9583435,998.9677124
143,971.1375732,921.5357056,723.230957,1003.080078,496.1424255,1013.857605,268.9583435,998.9677124
144,971.4499512,921.2921143,723.230957,1003.080078,496.1424255,1013.857605,268.9583435,998.9677124
145,971.4499512,921.2921143,723.0493774,1003.267517,496.2116089,1013.701477,268.9583435,998.9677124
146,971.5,921.5,723.072876,1003.352234,496.2116089,1013.701477,268.9583435,998.9677124
147,971.3434448,921.6907349,723.0571289,1003.310181,496.2116089,1013.701477,268.9583435,998.9677124
148,971.2965698,921.9007568,723.0571289,1003.310181,496.2116089,1013.701477,268.9583435,998.9677124
149,971.814209,922.0532837,723.0571289,1003.310181,496.2116089,1013.701477,268.9583435,998.9677124
150,971.5978394,922.4130249,723.1455078,1003.425903,496.2116089,1013.701477,268.9084778,999.0491943
151,971.737793,922.9011841,723.1455078,1003.425903,496.2116089,1013.701477,268.8994446,999.0950317
152,971.8086548,923.2246704,723.2119141,1003.543945,496.2116089,1013.701477,268.8994446,999.0950317
153,971.8624268,923.5357056,723.2993774,1003.667908,495.9811401,1013.833313,268.8994446,999.0950317
154,971.8624268,923.5357056,723.4072876,1004.106201,495.9811401,1013.833313,268.8994446,999.0950317
155,971.9810181,923.6097412,723.4375,1004.291687,495.9811401,1013.833313,268.8994446,999.0950317
156,971.9810181,923.6097412,723.4375,1004.291687,495.9811401,1013.833313,269.3482971,999.3088379
157,971.9810181,923.6097412,723.4375,1004.291687,495.9811401,1013.833313,269.5042419,999.4547729
158,972.0159302,924.1899414,723.4385376,1004.377075,495.9811401,1013.833313,269.3964233,999.3196411
159,972.3108521,924.5,723.4512329,1004.418701,495.9811401,1013.833313,269.3964233,999.3196411
160,972.3108521,924.5,723.4512329,1004.418701,495.9811401,1013.833313,269.3964233,999.3196411
161,972.3108521,924.5,723.4512329,1004.418701,495.9811401,1013.833313,269.3964233,999.3196411
162,972.177063,924.7524414,723.4512329,1004.418701,495.9811401,1013.833313,269.3964233,999.3196411
163,972.3659058,924.9822388,723.4512329,1004.418701,495.9811401,1013.833313,269.3964233,999.3196411
164,972.4139404,924.8210449,723.4512329,1004.418701,495.9811401,1013.833313,269.3964233,999.3196411
165,972.4139404,924.8210449,723.4512329,1004.418701,495.9811401,1013.833313,269.3964233,999.3196411
166,972.5359497,925.0470581,723.4512329,1004.418701,495.9811401,1013.833313,269.6400146,999.281311
167,972.5359497,925.0470581,723.4512329,1004.418701,495.9811401,1013.833313,269.6186523,999.2980347
168,972.5359497,925.0470581,723.5,1004.610657,495.9811401,1013.833313,269.9956665,999.3231812
169,972.5359497,925.0470581,723.5,1004.610657,495.9811401,1013.833313,270.092926,999.3112183
170,972.5359497,925.0470581,723.5,1004.610657,495.9811401,1013.833313,270.092926,999.3112183
171,972.5359497,925.0470581,723.5,1004.610657,495.9811401,1013.833313,270.092926,999.3112183
172,972.5359497,925.0470581,723.5,1004.610657,495.9811401,1013.833313,270.092926,999.3112183
173,972.5359497,925.0470581,723.5,1004.610657,495.9811401,1013.833313,270.092926,999.3112183
174,972.7313232,925.0303955,723.5,1004.610657,495.9811401,1013.833313,270.092926,999.3112183
175,972.7313232,925.0303955,723.5,1004.610657,495.9811401,1013.833313,270.092926,999.3112183
176,972.7313232,925.0303955,723.5,1004.610657,495.9811401,1013.833313,270.243927,999.2924194
177,972.7313232,925.0303955,723.5,1004.610657,495.9811401,1013.833313,270.3364258,999.1891479
178,972.9227905,925.0980225,723.5,1004.610657,495.9811401,1013.833313,270.3668213,999.1856689
179,972.9227905,925.0980225,723.5,1004.610657,495.9811401,1013.833313,270.5773621,998.6491089
180,972.9227905,925.0980225,723.5,1004.610657,495.9811401,1013.833313,270.7085266,998.579834
181,973.022583,925.1904907,723.5,1004.610657,496.5,1013.5,270.8657532,998.6184082
182,973.022583,925.1904907,723.5,1004.610657,496.5,1013.5,271.0518799,998.7609863
183,973.022583,925.1904907,723.5,1004.5,496.5,1013.5,271.0333252,998.8110962
184,973.022583,925.1904907,723.5,1004.5,496.5,1013.5,271.3668213,998.7153931
185,973.022583,925.1904907,723.5,1004.5,496.5,1013.5,271.8701172,998.8826294
186,973.022583,925.1904907,723.5,1004.5,496.5,1013.5,271.8701172,998.8826294
187,972.8300781,925.1245117,723.5,1004.5,496.5,1013.5,271.8701172,998.8826294
188,972.8300781,925.1245117,723.5,1004.5,496.5,1013.5,271.8899231,998.8325806
189,972.8300781,925.1245117,723.5,1004.5,496.5,1013.5,272,998.7396851
190,973.022583,925.1904907,723.5,1004.610657,496.5,1013.5,272,998.7396851
191,973.2347412,925.2347412,723.5,1004.610657,496.5,1013.5,272,998.7396851
192,973.2347412,925.2347412,723.5,1004.610657,496.5,1013.5,272,998.7396851
193,973.2347412,925.2347412,723.5,1004.610657,496.5,1013.5,271.9920959,998.8104248
194,973.3092651,925.3434448,723.5606079,1004.787903,496.5,1013.5,271.9920959,998.8104248
195,973.3092651,925.3434448,723.5,1004.610657,496.3765869,1013.623413,271.9920959,998.8104248
196,973.3092651,925.3434448,723.5,1004.610657,496.3765869,1013.623413,272.2380981,998.6390381
197,973.3092651,925.3434448,723.5,1004.610657,496.3765869,1013.623413,272.5,998.5
198,973.3092651,925.3434448,723.5,1004.610657,496.3765869,1013.623413,272.6959839,998.5
199,973.3092651,925.3434448,723.5,1004.610657,496.3765869,1013.623413,273.0868225,998.5984497
200,973.3092651,925.3434448,724.0107422,1004.794495,496.3765869,1013.623413,273.7269897,998.6184082
201,973.3092651,925.3434448,724.1218872,1004.620667,496.3765869,1013.623413,274.3996887,998.6003418
202,973.1307373,925.3071899,724.1218872,1004.620667,496.3765869,1013.623413,274.8899231,998.434082
203,972.8115234,925.3262939,724.1218872,1004.620667,496.3765869,1013.623413,276.2587585,998.3135376
204,972.8115234,925.3262939,724.1218872,1004.620667,496.3765869,1013.623413,276.8554077,998.3363647
205,972.8115234,925.3262939,724.1218872,1004.620667,496.3765869,1013.623413,277.676239,998.5177612
206,973.0430298,925.1680298,724.0181885,1004.73938,496.3765869,1013.623413,278.5,998.5
207,973.0430298,925.1680298,724.1069946,1004.698669,496.3765869,1013.623413,279.433075,998.9487915
208,972.8300781,925.1245117,723.8934937,1004.986084,497.0188599,1013.833313,280.0466003,999.0169678
209,972.8300781,925.1245117,723.572876,1004.780762,496.8790588,1013.643066,280.4091492,999.1015625
210,972.8300781,925.1245117,723.572876,1004.780762,496.8790588,1013.643066,280.2551575,999.6593018
211,972.8300781,925.1245117,723.572876,1004.780762,497,1013.5,280.2313232,999.9741211
212,972.5,924.718689,723.572876,1004.780762,497,1013.5,279.3516846,999.9954224
213,972.5,924.8990479,723.572876,1004.780762,497,1013.5,278.5,1000.5
214,972.5,924.8990479,723.5,1004.684753,497,1013.5,278.3996887,1000.399658
215,971.8838501,925.1161499,723.4882813,1004.639343,497,1013.5,278.1207581,1000.35907
216,972.0745239,925.0470581,723.6211548,1004.748352,497,1013.5,278.1207581,1000.35907
217,972.0745239,925.0470581,723.81604,1004.690186,497,1013.5,277.4465637,1000.56781
218,972.0874634,924.8491821,723.81604,1004.690186,497,1013.5,277.3886414,1000.761902
219,972.0874634,924.8491821,723.81604,1004.690186,497,1013.5,277.2316895,1000.795227
220,972.0498047,924.3748169,723.81604,1004.690186,497,1013.5,276.8341064,1000.93335
221,972.0498047,924.3748169,723.7907715,1004.457458,497,1013.5,276.4573669,1000.857361
222,972.1891479,924.138916,723.588562,1004.525818,497,1013.5,276.3668213,1000.814331
223,972.1891479,924.138916,723.4338989,1004.334717,497,1013.5,276.3668213,1000.814331
224,972.0874634,924.3853149,723.4338989,1004.334717,497.1577454,1013.5,276.3668213,1000.814331
225,972.0874634,924.3853149,723.4338989,1004.334717,497,1013.5,276.3668213,1000.814331
226,972.0874634,924.3853149,723.4338989,1004.334717,497.1577454,1013.5,275.9583435,1000.942322
227,972.0874634,924.3853149,723.2907715,1004.441162,497,1013.5,275.7953796,1000.970276
228,972.0874634,924.3853149,723.2907715,1004.441162,497,1013.5,275.904541,1000.961182
229,971.737793,924.9011841,723.2907715,1004.441162,497,1013.5,275.9849243,1000.785583
230,971.8838501,925.1161499,723.2907715,1004.441162,497.1577454,1013.5,275.8187561,1000.883484
231,971.7652588,925.2347412,723.2907715,1004.441162,497.1577454,1013.5,275.9052429,1000.648071
232,971.7652588,925.2347412,723.2907715,1004.441162,497.1577454,1013.5,275.9052429,1000.648071
233,971.7652588,925.2347412,723.4298096,1004.554077,497.1577454,1013.5,275.9052429,1000.648071
234,971.7652588,925.2347412,723.4298096,1004.554077,497.1577454,1013.5,276.0799866,1000.69165
235,971.7652588,925.2347412,723.4298096,1004.554077,497.1577454,1013.5,275.8639526,1000.494873
236,971.8838501,925.1161499,723.4298096,1004.554077,497.1577454,1013.5,275.6499939,1000.544983
237,971.8838501,925.1161499,723.4298096,1004.554077,497.1577454,1013.5,275.3070679,1000.180603
238,971.8838501,925.1161499,723.4298096,1004.554077,497.1577454,1013.5,275.3070679,1000.180603
239,971.8838501,925.1161499,723.4298096,1004.554077,497.1577454,1013.5,275.3070679,1000.180603
240,971.618042,925.381958,723.2907715,1004.441162,497.1577454,1013.5,275.4082642,1000.027527
241,971.618042,925.381958,723.2907715,1004.441162,496.6166687,1013.679993,275.6463623,1000.017395
242,971.618042,925.381958,723.2907715,1004.441162,496.931366,1013.509827,275.8768921,999.8851929
243,971.8838501,925.1161499,723.2907715,1004.441162,496.6506348,1013.538452,275.9128113,999.7538452
244,971.8838501,925.1161499,723.2907715,1004.441162,497.4045715,1013.689453,275.9128113,999.7538452
245,971.737793,924.9011841,723.2907715,1004.441162,497.368103,1013.289856,275.9588623,999.7602539
246,971.737793,924.9011841,723.2907715,1004.441162,497.368103,1013.289856,275.9588623,999.7602539
247,971.737793,924.9011841,723.2907715,1004.441162,497.368103,1013.289856,275.8244019,999.9866333
248,971.8838501,925.1161499,723.2907715,1004.441162,497.368103,1013.289856,275.9260864,999.7559204
249,971.8838501,925.1161499,723.2907715,1004.441162,497.368103,1013.289856,275.9260864,999.7559204
250,971.8838501,925.1161499,723.2967529,1004.483826,497.368103,1013.289856,275.9260864,999.7559204
251,971.7652588,925.2347412,723.4347534,1004.597107,497.368103,1013.289856,275.9260864,999.7559204
252,971.7652588,925.2347412,723.4347534,1004.597107,497.368103,1013.289856,275.9260864,999.7559204
253,971.7652588,925.2347412,723.4347534,1004.597107,497.368103,1013.289856,275.9718628,999.7538452
254,971.7652588,925.2347412,723.4347534,1004.597107,497.3389282,1013.131653,275.9260864,999.7559204
255,971.7652588,925.2347412,723.4347534,1004.597107,497.368103,1013.289856,275.9260864,999.7559204
256,971.7652588,925.2347412,723.4347534,1004.597107,497.368103,1013.289856,275.9260864,999.7559204
257,971.7652588,925.2347412,723.4347534,1004.597107,497.368103,1013.289856,275.9260864,999.7559204
258,972.0772095,925.0980225,723.4347534,1004.597107,497.3389282,1013.131653,275.9260864,999.7559204
259,972.2686768,925.0303955,723.4347534,1004.597107,497.3389282,1013.131653,275.9260864,999.7559204
260,972.0772095,925.0980225,723.5766602,1004.483826,497.3389282,1013.131653,275.9260864,999.7559204
261,972.0772095,925.0980225,723.8013306,1004.484375,497.3389282,1013.131653,275.9260864,999.7559204
262,972.0772095,925.0980225,723.8013306,1004.484375,497.2513733,1013.049194,275.9260864,999.7559204
263,972.0772095,925.0980225,723.8013306,1004.484375,497.3389282,1013.131653,275.9260864,999.7559204
264,972.0772095,925.0980225,723.8013306,1004.484375,497.2513733,1013.049194,275.9260864,999.7559204
265,972.0772095,925.0980225,723.8013306,1004.484375,497.3389282,1013.131653,275.9260864,999.7559204
266,972.0772095,925.0980225,723.8013306,1004.484375,497.3490906,1012.939636,275.9260864,999.7559204
267,972.0772095,925.0980225,723.8013306,1004.484375,497.3389282,1013.131653,275.9260864,999.7559204
268,972.0772095,925.0980225,723.8013306,1004.484375,497.3490906,1012.939636,275.7355042,999.763855
269,972.0772095,925.0980225,723.7997437,1004.443054,496.8397827,1012.803589,275.6468201,999.8624268
270,972.0772095,925.0980225,723.7997437,1004.443054,496.8397827,1012.803589,275.6468201,999.8624268
271,971.9437866,924.888916,723.7648926,1004.409424,496.8397827,1012.803589,275.6468201,999.8624268
272,971.9437866,924.888916,723.7648926,1004.409424,496.8397827,1012.803589,275.6468201,999.8624268
273,971.9437866,924.888916,723.7648926,1004.409424,496.8397827,1012.803589,275.7355042,999.763855
274,971.9437866,924.888916,723.7712402,1004.366821,496.8397827,1012.803589,275.6488342,999.7270508
275,971.9437866,924.888916,723.7861938,1004.323486,496.8397827,1012.803589,275.4126892,999.786438
276,971.9437866,924.888916,723.7861938,1004.323486,496.8397827,1012.803589,275.4126892,999.786438
277,972.1508179,924.0874634,723.7861938,1004.323486,496.8397827,1012.803589,275.4126892,999.786438
278,972.1508179,924.0874634,723.7861938,1004.323486,496.8397827,1012.803589,275.4126892,999.786438
279,972.1508179,924.0874634,723.7861938,1004.323486,497.2550659,1012.744934,275.5154114,999.7562256
280,972.1508179,924.0874634,723.8099365,1004.279419,497.2550659,1012.744934,275.4126892,999.786438
281,972.1508179,924.0874634,723.7525024,1004.264648,497.2550659,1012.744934,275.4126892,999.786438
282,972.1508179,924.0874634,723.7525024,1004.264648,497.2550659,1012.744934,275.4126892,999.786438
283,972.1508179,924.0874634,723.7525024,1004.264648,497.2550659,1012.744934,275.4126892,999.786438
284,972.0892944,924.4749756,723.7525024,1004.264648,497.2550659,1012.744934,275.4126892,999.786438
285,972.0892944,924.4749756,723.7525024,1004.264648,497.2550659,1012.744934,275.4126892,999.786438
286,972.2084961,924.6861572,723.7861938,1004.323486,497.2550659,1012.744934,275.4126892,999.786438
287,972.0772095,925.0980225,723.7648926,1004.409424,497.2550659,1012.744934,275.4126892,999.786438
288,972.3704834,925.2625122,723.7997437,1004.443054,497.2550659,1012.744934,275.4126892,999.786438
289,972.3704834,925.2625122,723.7997437,1004.443054,497.2550659,1012.744934,275.4126892,999.786438
