Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y
1,979.9408569,900.9310303,724.0629883,997.555542,264.5,997,492.834564,1015.63989
2,980.1351929,901.0220337,724.0804443,997.8496704,264.931458,996.931458,492.834564,1015.63989
3,980.1351929,901.0220337,724.0804443,997.8496704,265.334686,996.947571,492.834564,1015.63989
4,980.1351929,901.0220337,724.0804443,997.8496704,265.425415,996.892334,492.834564,1015.63989
5,980.1351929,901.0220337,724.0804443,997.8496704,265.400513,996.807373,492.834564,1015.63989
6,980.2003174,901.1589966,723.9333496,998.0944214,265.330841,996.873901,492.834564,1015.63989
7,980.2003174,901.1589966,723.9988403,997.9858398,265.330841,996.873901,492.834564,1015.63989
8,980.3857422,901.3551636,723.9988403,997.9858398,265.330841,996.873901,492.834564,1015.63989
9,980.2003174,901.1589966,724.1800537,998.0535278,265.330841,996.873901,492.834564,1015.63989
10,980.2003174,901.1589966,724.3723145,998.0662231,265.5,997,492.659027,1015.56995
11,980.3857422,901.3551636,724.3723145,998.0662231,265.822998,996.972839,492.834564,1015.63989
12,980.2782593,901.5,724.3723145,998.0662231,265.822998,996.972839,492.834564,1015.63989
13,980.3857422,901.6448364,724.3723145,998.0662231,265.822998,996.972839,492.708923,1015.74884
14,980.8137817,901.6342773,724.6124268,998.2271118,265.822998,996.972839,492.305756,1015.6441
15,980.8467407,901.9846802,724.6984253,998.6383057,265.822998,996.972839,492.376587,1015.62341
16,980.9840698,902.6397095,724.6734009,998.6779175,265.822998,996.972839,492.376587,1015.62341
17,981.1807251,902.9133301,724.7671509,998.944458,265.822998,996.972839,492.305756,1015.6441
18,981.4257813,902.6080933,724.7258301,999.428894,265.822998,996.972839,492.305756,1015.6441
19,981.3044434,902.8485107,724.862854,999.2565308,265.822998,996.972839,492.305756,1015.6441
20,981.2347412,903.2347412,724.8289795,999.6731567,265.743988,997.063354,492.305756,1015.6441
21,981.3092651,903.3434448,724.8289795,999.6731567,265.840424,997.072083,492.305756,1015.6441
22,981.5,903.5,724.763855,999.8986206,265.950134,997.015747,492.305756,1015.6441
23,981.6907349,903.6565552,724.43927,1000.105896,266.093506,997.024414,492.305756,1015.6441
24,981.7478638,904.1903076,724.4679565,1000.304504,266.093506,997.024414,492.305756,1015.6441
25,981.8838501,905.1161499,724.8483887,1000.539368,266.093506,997.024414,492.305756,1015.6441
26,981.8838501,905.1161499,724.8483887,1000.539368,266.093506,997.024414,492.305756,1015.6441
27,981.7652588,905.7652588,725.3110962,1000.334656,266.093506,997.024414,492.305756,1015.6441
28,981.9352417,906.2698975,725.5917969,1000.895935,266.093506,997.024414,492.305756,1015.6441
29,981.8838501,906.6691895,725.5980225,1001.310852,266.093506,997.024414,492.234558,1015.64935
30,982.5257568,907.0980225,725.4744263,1001.435547,266.093506,997.024414,492.234558,1015.64935
31,982.7176514,907.3535156,725.0941772,1001.811707,266.093506,997.024414,491.927765,1015.79443
32,982.7176514,907.3535156,725.2088013,1001.870422,266.093506,997.024414,491.927765,1015.79443
33,982.8251953,907.6878662,725.2484741,1001.996338,266.093506,997.024414,491.855194,1015.79779
34,982.8016357,907.9584961,725.1995239,1002.053528,266.093506,997.024414,491.855194,1015.79779
35,982.819458,908.4254761,725.5,1002.297913,266.33902,997.079407,491.855194,1015.79779
36,982.7908325,908.9689941,725.5,1002.297913,266.214386,997.14801,491.855194,1015.79779
37,982.7176514,909.1613159,725.5,1002.297913,266.241272,997.10321,491.855194,1015.79779
38,982.9024048,909.5,725.5,1002.297913,266.241272,997.10321,491.855194,1015.79779
39,982.9910278,909.5905762,725.5,1002.297913,266.241272,997.10321,491.855194,1015.79779
40,982.9910278,909.5905762,725.5,1002.297913,266.241272,997.10321,491.855194,1015.79779
41,983.381958,909.618042,725.4520264,1002.594666,266.241272,997.10321,491.855194,1015.79779
42,983.4094238,910.0089722,725.5081787,1002.911926,266.241272,997.10321,491.855194,1015.79779
43,983.4094238,910.0089722,725.4504395,1002.783813,266.241272,997.10321,491.855194,1015.79779
44,983.4094238,910.0089722,725.5080566,1002.996277,266.241272,997.10321,491.855194,1015.79779
45,983.2625122,910.2032471,725.3920288,1002.993347,266.241272,997.10321,491.855194,1015.79779
46,983.2625122,910.2032471,725.2658691,1003.134888,266.241272,997.10321,491.855194,1015.79779
47,983.2625122,910.2032471,725.2658691,1003.134888,266.241272,997.10321,491.927765,1015.79443
48,983.2625122,910.2032471,725.2658691,1003.134888,266.241272,997.10321,491.833344,1016.27673
49,983.2625122,910.2032471,725.2658691,1003.134888,266.241272,997.10321,491.823334,1016.5
50,983.4021606,910.4130249,725.2658691,1003.134888,266.214386,997.14801,491.823334,1016.5
51,983.449646,910.8052368,725.2658691,1003.134888,266.33902,997.079407,491.823334,1016.5
52,983.449646,910.8052368,725.2658691,1003.134888,266.33902,997.079407,491.823334,1016.5
53,983.449646,910.8052368,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219
54,983.5500488,911.2921143,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219
55,983.5500488,911.2921143,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219
56,983.5500488,911.2921143,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219
57,983.5,911.5,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219
58,983.5500488,911.2921143,725.3031616,1003.296875,266.33902,997.079407,491.887299,1016.24219
59,983.5500488,911.2921143,725.0971069,1003.450134,266.33902,997.079407,491.887299,1016.24219
60,983.5500488,911.2921143,725.248291,1003.654297,266.33902,997.079407,491.887299,1016.24219
61,983.5500488,911.2921143,725.1659546,1003.772156,266.33902,997.079407,491.821259,1015.93475
62,983.6856689,911.600647,725.1165161,1003.970215,266.33902,997.079407,491.821259,1015.93475
63,983.7205811,912.2243652,725.1680298,1003.986572,266.33902,997.079407,491.713898,1016.24933
64,983.7205811,912.2243652,725.2467041,1003.868774,266.33902,997.079407,491.70285,1016.31525
65,983.8970947,912.3892822,725.2467041,1003.868774,266.33902,997.079407,491.70285,1016.31525
66,983.6592407,912.6655884,725.3858643,1004.24176,266.33902,997.079407,491.70285,1016.31525
67,983.7205811,912.7756348,725.3220825,1004.482422,266.33902,997.079407,491.70285,1016.31525
68,983.807373,913.6424561,725.2970581,1004.709656,266.33902,997.079407,491.70285,1016.31525
69,984.043396,913.1206055,725.2548218,1004.584045,266.33902,997.079407,491.70285,1016.31525
70,984.1335449,914.1335449,725.4227905,1004.66394,266.33902,997.079407,491.5242,1016.21503
71,983.9884644,913.9213867,725.5120239,1004.993347,266.33902,997.079407,491.5242,1016.21503
72,984.1525879,914.9257202,725.4538574,1005.205139,266.33902,997.079407,491.634583,1016.28394
73,984.2484131,915.5293579,725.3920288,1004.993347,266.33902,997.079407,491.649384,1016.76544
74,984.4679565,916.0770874,725.2653809,1005.304382,266.33902,997.079407,491.649384,1016.76544
75,984.5769653,916.1483765,725.24646,1005.224792,266.33902,997.079407,491.649384,1016.76544
76,984.5740967,916.6018677,725.4231567,1005.526001,266.33902,997.079407,491.649384,1016.76544
77,984.8323364,916.9274292,725.6919556,1006.049438,266.33902,997.079407,491.672363,1017.26782
78,984.8152466,917.4457397,725.7252197,1006.166687,266.33902,997.079407,491.672363,1017.26782
79,985.2114868,917.9424438,725.2890625,1006.450195,266.5,997,491.672363,1017.26782
80,985.444458,918.171814,725.4080811,1006.446106,266.5,997,491.672363,1017.26782
81,985.1029053,918.6107178,725.3961792,1006.210266,266.5,997,491.672363,1017.26782
82,985.1029053,918.6107178,725.4124146,1006.484192,266.590851,996.898438,491.672363,1017.26782
83,985.5,919.5,725.1588745,1006.858093,266.590851,996.898438,491.590149,1017.40985
84,985.4345093,919.8172607,724.9820557,1007.344116,266.590851,996.898438,491.590149,1017.40985
85,985.4094238,920.0089722,724.9816895,1007.208801,266.590851,996.898438,491.5,1017.5
86,985.5,920.5,724.9297485,1007.363098,266.590851,996.898438,491.5,1017.5
87,985.5,921.083313,725,1007.571411,266.590851,996.898438,491.5,1017.5
88,985.5470581,921.2912598,725.0230103,1007.609192,266.590851,996.898438,491.5,1017.5
89,985.4382935,921.4036865,725,1007.571411,266.590851,996.898438,491.5,1017.5
90,985.5,921.3191528,725.1011353,1007.707886,266.590851,996.898438,491.5,1017.5
91,985.3693237,922.6941528,725.0758057,1007.937439,266.590851,996.898438,491.5,1017.5
92,985.3693237,922.6941528,725.0960693,1008.023743,266.689178,996.857971,491.5,1017.5
93,985.5,923.083313,725.0960693,1008.023743,266.758759,997,491.5,1017.5
