Timestamp (microseconds),Pos X (m),Pos Y (m),Pos Z (m),Seconds
1658790028789337,0.21515220874341967,-0.4169069962615395,0.9158770122835129,0.0
1658790028805335,0.21383993286030378,-0.41208514534218343,0.9085831998168921,0.015998125076293945
1658790028821333,0.2125581750209813,-0.41797512779430823,0.9095292591744872,0.03199601173400879
1658790028837330,0.21307698176546896,-0.42554360265506963,0.9143816281376367,0.04799318313598633
1658790028853328,0.21567101548790735,-0.4222476539253832,0.9132219424734878,0.06399106979370117
1658790028869326,0.21805142290379198,-0.41535057602807646,0.9106889448386362,0.07998919486999512
1658790028885324,0.21817349507896555,-0.4167849240863659,0.9115434500648512,0.09598708152770996
1658790028901322,0.2175631342030977,-0.42377355611505285,0.9084000915541317,0.1119849681854248
1658790028917320,0.21811245899137877,-0.42374303807125946,0.9018692301823457,0.12798309326171875
1658790028933318,0.22018768596932947,-0.41702906843671306,0.9021438925764862,0.1439809799194336
1658790028949316,0.22110322728313125,-0.41248187991149754,0.904768444342718,0.15997910499572754
1658790028965314,0.2175326161593043,-0.41409933623254735,0.9052872510872056,0.17597699165344238
1658790028981311,0.2125581750209813,-0.42243076218814357,0.9083085374227515,0.19197416305541992
1658790028997309,0.2099641412985429,-0.4256046387426564,0.9075455863279167,0.20797204971313477
1658790029013307,0.20990310521095612,-0.41876859693293644,0.9007095445181967,0.2239701747894287
1658790029029305,0.21301594567788218,-0.41455710688944825,0.8993972686350808,0.23996806144714355
1658790029045303,0.21777676050965145,-0.41965362020294483,0.9076066224155035,0.2559661865234375
1658790029061301,0.22186617837796607,-0.42298008697642464,0.9156633859769592,0.27196407318115234
1658790029077299,0.22241550316624714,-0.42255283436331714,0.9177080949111165,0.2879621982574463
1658790029093297,0.21731898985275055,-0.4244754711223009,0.9153276874952319,0.30396008491516113
1658790029109283,0.21023880369268344,-0.42896162355992973,0.9139848935683226,0.3199460506439209
1658790029125281,0.2079194323643856,-0.43476005188067446,0.9187457084000918,0.33594417572021484
1658790029141279,0.21237506675822093,-0.43299000534065757,0.9264362554360268,0.3519420623779297
1658790029157277,0.21805142290379198,-0.427283131151293,0.9326924544136723,0.36794018745422363
1658790029173275,0.2196383611810484,-0.42621499961852427,0.93321126115816,0.3839380741119385
1658790029189273,0.21686121919584966,-0.430304417486839,0.9270771343556881,0.3999361991882324
1658790029205270,0.21353475242236986,-0.4358281834134432,0.9187457084000918,0.41593313217163086
1658790029221268,0.2112458991378654,-0.4386968795300221,0.9186541542687117,0.4319310188293457
1658790029237266,0.2099641412985429,-0.437445639734493,0.9267719539177541,0.44792914390563965
1658790029253264,0.2112458991378654,-0.42929732204165705,0.9293049515526057,0.4639270305633545
1658790029269262,0.21362630655375003,-0.4261844815747309,0.9301899748226141,0.47992515563964844
1658790029285260,0.21411459525444432,-0.4324711985961698,0.9276874952315559,0.4959230422973633
1658790029301258,0.2108796826123447,-0.43692683299000523,0.915419241626612,0.5119211673736572
1658790029317256,0.20718699931334417,-0.4387273975738156,0.9082780193789581,0.5279190540313721
1658790029333253,0.20801098649576577,-0.43692683299000545,0.9087968261234458,0.5439159870147705
1658790029349251,0.2124971389333945,-0.42966353856717776,0.9091630426489665,0.5599141120910645
1658790029365249,0.2184176394293127,-0.42169832913710215,0.9106584267948428,0.5759119987487793
1658790029381247,0.22159151598382554,-0.41788357366292805,0.909742885481041,0.5919101238250732
1658790029397245,0.21915007248035412,-0.4206912336919202,0.9062333104448008,0.6079080104827881
1658790029413243,0.21521324483100646,-0.43054856183718615,0.9082475013351647,0.623906135559082
1658790029429260,0.2124666208896011,-0.4379339284351873,0.9152666514076451,0.639923095703125
1658790029445258,0.21197833218890683,-0.43131151293202097,0.9200274662394143,0.6559209823608398
1658790029461256,0.214633401998932,-0.41532005798428306,0.9175249866483561,0.6719191074371338
1658790029477254,0.21832608529793252,-0.40454718852521543,0.9126420996414133,0.6879169940948486
1658790029493251,0.22021820401312286,-0.40949111161974505,0.9162127107652402,0.7039141654968262
1658790029509249,0.22034027618829644,-0.4213626306553748,0.9233539330128941,0.719912052154541
1658790029525247,0.22021820401312286,-0.4277409018081939,0.9241779201953157,0.735910177230835
1658790029541245,0.2187838559548334,-0.4286564431219957,0.9201800564583813,0.7519080638885498
1658790029557243,0.2158236057068743,-0.4268253604943921,0.9166094453345544,0.7679061889648438
1658790029573241,0.214633401998932,-0.42590981918059034,0.9203631647211417,0.7839040756225586
1658790029589239,0.21530479896238663,-0.4240787365529868,0.9271992065308616,0.7999019622802734
1658790029605237,0.21564049744411395,-0.41797512779430823,0.9293965056839859,0.8159000873565674
1658790029621235,0.2142366674296179,-0.4143434805828945,0.926680399786374,0.8318979740142822
1658790029637232,0.21326009002822932,-0.41532005798428306,0.9210650797283897,0.8478951454162598
1658790029653230,0.21600671396963467,-0.4188601510643166,0.9201800564583813,0.8638930320739746
1658790029669228,0.2205233844510568,-0.42621499961852427,0.9220721751735717,0.8798911571502686
1658790029685226,0.2234836346990159,-0.4345159075303272,0.9191119249256126,0.8958890438079834
1658790029701224,0.22204928664072643,-0.4405279621576258,0.9119707026779587,0.9118871688842773
1658790029717222,0.219607843137255,-0.4429694056610973,0.9118181124589917,0.9278850555419922
1658790029733220,0.2188448920424202,-0.445197222858015,0.9235370412756545,0.9438831806182861
1658790029749115,0.21649500267032895,-0.44324406805523775,0.9250629434653241,0.9597780704498291
1658790029765112,0.21387045090409718,-0.43476005188067435,0.9117570763714049,0.9757750034332275
1658790029781109,0.21359578850995664,-0.42929732204165694,0.9031815060654615,0.9917721748352051
