Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y
1,972.3685303,916.3685303,718.8399048,1014.877747,264.8265991,1000.475342,495.5409851,1013.814209
2,972.2415771,915.4219971,719.2903442,1014.627625,264.3103027,1001.05835,495.5873108,1014.256592
3,971.8112793,914.9725952,719.2903442,1014.627625,264.5,1002.5,495.5409851,1013.814209
4,971.8112793,914.9725952,719.3638916,1014.5,263.843689,1002.625183,495.5409851,1013.814209
5,971.5,914.7217407,719.3638916,1014.5,263.7997131,1003.074768,495.5,1013.842285
6,971.3434448,915.3092651,719.2496948,1014.579285,263.2969055,1003.067505,495.5,1013.842285
7,971.5,915.5,719.1036377,1014.835205,263.0802307,1003.089905,495.5,1013.842285
8,971.6565552,915.6907349,718.8060913,1015.270935,262.9439697,1003.72699,495.5,1013.842285
9,971.7652588,915.7652588,719.1991577,1015.714111,262.67099,1004.077576,495.5,1013.842285
10,971.7652588,915.7652588,719.2298584,1015.752686,262.5,1004.5,495.5,1013.842285
11,971.7129517,916.7034302,719.2039795,1015.797363,262.5,1004.5,495.4717102,1014.276733
12,971.9559326,917.0440674,719.2039795,1015.797363,262.7619019,1004.360962,495.4717102,1014.276733
13,972.0680542,917.5,719.1771851,1015.887146,262.8899231,1004.434082,495.4289856,1014.571045
14,971.9810181,917.6097412,719.3208618,1016.127319,263.3652039,1004.552185,495.4289856,1014.571045
15,972.3046265,917.8046265,719.6281738,1016.379822,263.4180908,1004.564636,495.5873108,1014.256592
16,972.1947632,918.0574951,719.6281738,1016.379822,263.4099426,1004.826965,495.5873108,1014.256592
17,972.2040405,918.2674561,719.5,1016.721741,263.4099426,1004.826965,495.5873108,1014.256592
18,972.2040405,918.2674561,719.5,1016.721741,263.6989746,1005.073425,495.5873108,1014.256592
19,972.6221313,918.9567871,719.5,1016.721741,263.9629517,1005,495.6381836,1013.96582
20,972.392334,919.3635254,719.5336304,1017.135864,264.0881958,1005.124084,495.6381836,1013.96582
21,972.607666,919.6364746,719.538147,1017.090393,264.4134521,1005.256409,495.6381836,1013.96582
22,972.6617432,920.1246948,719.5336304,1017.135864,264.4215698,1005.369263,495.9166565,1014.282043
23,972.6739502,920.5,719.4263306,1017.164063,264.4257507,1005.42572,495.9166565,1014.282043
24,972.6221313,920.9567871,719.3513794,1017.533081,264.3252869,1005.529785,495.9166565,1014.282043
25,972.6142578,921.3551636,719.7103882,1017.913879,264.0583801,1005.551453,496.3259277,1014.325928
26,972.5,921.7810669,719.5011597,1018.122925,264,1005.5,496.3259277,1014.325928
27,972.5,922,719.5011597,1018.122925,264,1005.5,496.1687317,1014.637878
28,972.3187866,922.5842285,719.5011597,1018.122925,264,1005.5,496.1687317,1014.637878
29,972.1806641,923.420166,719.3493042,1018.333313,264,1005.5,496.1687317,1014.637878
30,972.392334,923.6364746,719.3143311,1018.524719,264.1342468,1005.618408,496.1687317,1014.637878
31,972.3857422,923.6448364,719.1796875,1018.627625,264.5,1005.5,496.1687317,1014.637878
32,972.3857422,923.6448364,718.8481445,1018.680237,264.5,1005.5,496.1687317,1014.637878
33,971.9140015,924.3425903,718.7014771,1018.965149,264.5,1005.5,496,1014.5
34,971.8066406,924.6856689,718.7014771,1018.965149,264.5,1005.5,496,1014.5
35,971.7652588,925.2347412,718.7014771,1018.965149,264.5,1005.5,496,1014.5
36,971.5,925.5,718.7014771,1018.965149,264.5,1005.5,496,1014.5
37,971.5,925.5,718.7014771,1018.965149,264.5,1005.5,496.1898193,1014.5
38,971.618042,925.618042,718.7014771,1018.965149,264.5,1005.5,496.1898193,1014.5
39,971.8086548,925.7753296,718.4721069,1019.102478,264.5,1005.5,496.5,1014.5
40,971.8086548,925.7753296,718.7014771,1018.965149,264.5,1005.5,496.5,1014.5
41,971.8086548,925.7753296,718.6544189,1019.045349,264.5,1005.5,496.6895752,1014.257019
42,971.8285522,925.9676514,718.6071167,1019.201172,264.5,1005.5,496.6895752,1014.257019
43,972.111084,925.9437866,718.6043091,1019.163086,264.4603882,1005.598999,496.6895752,1014.257019
44,971.9019775,926.0772095,718.6170044,1019.23877,264.4603882,1005.598999,496.6895752,1014.257019
45,971.8386841,926.2823486,718.6071167,1019.201172,264.4603882,1005.598999,496.6895752,1014.257019
46,971.9669189,926.5,718.604187,1019.361084,264.4603882,1005.598999,496.6895752,1014.257019
47,972.1413574,926.5818481,718.6071167,1019.201172,264.4603882,1005.598999,496.6895752,1014.257019
48,972.1413574,926.5818481,718.6071167,1019.201172,264.5984497,1005.913208,496.6895752,1014.257019
49,972.5,926.5,718.4176025,1019.375488,264.5984497,1005.913208,497.3236694,1013.934753
50,972.6739502,926.5,718.4176025,1019.375488,264.6714172,1005.992126,497.3236694,1013.934753
51,972.6739502,926.5,718.4176025,1019.375488,264.6747131,1006.325256,497.3514099,1013.64856
52,973.1029053,926.6107178,718.4176025,1019.375488,264.6747131,1006.325256,497.3514099,1013.64856
53,973.1714478,927.0323486,718.4176025,1019.375488,264.6003113,1006.399658,497.2511597,1014.028198
54,973.3143311,927.399353,718.3969116,1019.663147,264.6003113,1006.399658,497.2511597,1014.028198
55,973.4499512,927.7078857,718.4780884,1019.833313,264.6003113,1006.399658,497.2511597,1014.028198
56,973.5,927.916687,718.7597656,1020.054016,264.7619019,1006.360962,497.2511597,1014.028198
57,973.2521362,928.1903076,718.6713257,1020.027893,264.7619019,1006.360962,497.0956421,1014.355164
58,973.5905762,928.4194336,718.7828369,1020.261719,264.7619019,1006.360962,497.0956421,1014.355164
59,973.7688599,928.5981445,718.7958374,1020.67572,264.6315002,1006.63147,497.0956421,1014.355164
60,973.7688599,928.5981445,718.9925537,1020.64563,264.6315002,1006.63147,497.0956421,1014.355164
61,973.8386841,928.7176514,719.1292725,1020.69458,264.6315002,1006.63147,496.2398071,1014.496399
62,974.2518311,928.6782837,719.286438,1020.786438,264.557251,1006.711121,496.2398071,1014.496399
63,974.2518311,928.6782837,719.197998,1020.734314,264.557251,1006.711121,496.151947,1014.436279
64,974.3312378,928.777771,719.5053711,1020.867371,264.4500122,1006.811646,496.151947,1014.436279
65,974.3312378,928.777771,719.3049316,1020.745667,264.4368896,1006.975708,496.151947,1014.436279
66,974.8588257,929.2963867,719.5075684,1020.99884,264.4368896,1006.975708,496.2398071,1014.496399
67,974.7967529,929.7374878,719.5040283,1021.036926,264.4368896,1006.975708,496.2398071,1014.496399
68,974.5805664,929.8668823,719.5040283,1021.036926,264.4368896,1006.975708,496.2398071,1014.496399
69,974.4703979,929.800415,719.1727295,1021.103394,264.4368896,1006.975708,496.2398071,1014.496399
70,974.4703979,929.800415,719.178772,1021.142517,264.4852905,1006.946106,496.3507385,1014.37561
