Timestamp (microseconds),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Seconds
1658790116018768,0.11480888075074347,0.9850614175631343,-0.021118486305027773,0.0
1658790116034768,0.11792172121766953,0.993667505912871,-0.02911421377889667,0.016000032424926758
1658790116050768,0.11926451514457881,0.9934843976501107,-0.03112840466926059,0.031999826431274414
1658790116066767,0.11755550469214882,0.9874418249790189,-0.02612344548714418,0.047998905181884766
1658790116082767,0.11432059205004919,0.9828030823224232,-0.02398718242160669,0.06399893760681152
1658790116098767,0.11248950942244562,0.9871976806286717,-0.027588311589227033,0.07999897003173828
1658790116114767,0.10955977721827992,0.9952544441901274,-0.0285648889906156,0.09599900245666504
1658790116130766,0.10925459678034599,1.0041046768902113,-0.028320744640268458,0.11199784278869629
1658790116146766,0.11462577248798311,1.0009918364232853,-0.03100633249408702,0.12799787521362305
1658790116162766,0.1279316395819028,0.9936064698252842,-0.02319371328297848,0.1439979076385498
1658790116178766,0.13031204699778742,0.9899443045700771,-0.014221408407721015,0.15999794006347656
1658790116194766,0.12603952086671244,0.9981841763942931,-0.017883573662928143,0.17599797248840332
1658790116210765,0.11963073167009997,1.0105134660868238,-0.02355992980849919,0.19199681282043457
1658790116226765,0.11151293202105705,1.0076447699702449,-0.023743038071259548,0.20799684524536133
1658790116242765,0.11157396810864384,1.0008697642481117,-0.016784924086366004,0.22399687767028809
1658790116258765,0.11126878767070991,0.9790798809796293,-0.005065995269703194,0.23999691009521484
1658790116274765,0.10846112764171778,0.9715724422064547,0.000915541313801782,0.2559969425201416
1658790116290764,0.10235751888303923,0.9934843976501107,-0.008911268787670679,0.27199602127075195
1658790116306764,0.10595864805065958,0.9997100785839628,-0.02252231631952384,0.2879958152770996
1658790116322764,0.1113298237582967,1.0059967956054017,-0.02722209506370632,0.30399584770202637
1658790116338775,0.1167620355535206,1.012161440451667,-0.016235599298084935,0.3200068473815918
1658790116354775,0.11419851987487561,0.9883573662928207,-0.000915541313801782,0.33600687980651855
1658790116370775,0.10156404974441102,0.9690699626153965,0.003784237430380699,0.3520069122314453
1658790116386775,0.0986953536278321,0.9710841535057604,-0.0039673456931410556,0.36800694465637207
1658790116402774,0.10528725108720494,0.9910429541466392,-0.018677042801556354,0.3840060234069824
1658790116418774,0.11493095292591704,1.011612115663386,-0.026184481574730967,0.4000058174133301
1658790116434774,0.11529716945143775,1.005325398641947,-0.02221713588158991,0.41600584983825684
1658790116450774,0.11108567940794956,0.9792019531548029,-0.00982681010147246,0.4320058822631836
1658790116466774,0.1109025711451892,0.9636987869077593,0.0,0.44800591468811035
1658790116482773,0.11401541161211526,0.9842069123369193,-0.004699778744182481,0.4640049934387207
1658790116498773,0.1211566338597696,1.0146028839551384,-0.013183794918745662,0.48000502586364746
1658790116514773,0.11987487602044711,1.0152132448310063,-0.017456321049820644,0.4960048198699951
1658790116530773,0.11364919508659455,0.9952544441901274,-0.017700465400167786,0.5120048522949219
1658790116546773,0.10785076676584993,0.9865873197528039,-0.014892805371175655,0.5280048847198486
1658790116562772,0.1071183337148085,0.9853665980010682,-0.012085145342183523,0.544003963470459
1658790116578772,0.11059739070725527,0.9863431754024568,-0.011108567940794956,0.5600039958953857
1658790116594772,0.10644693675135386,0.9943389028763256,-0.015686274509803866,0.5760040283203125
1658790116610772,0.10730144197756886,1.0022735942626078,-0.020019836728465634,0.5920038223266602
1658790116626772,0.1129777981231399,1.0117341878385595,-0.01709010452429993,0.6080038547515869
1658790116642771,0.11578545815213204,1.0075226977950713,-0.010254062714579959,0.6240029335021973
1658790116658752,0.11328297856107383,0.9853665980010682,-0.005859464408331405,0.6399838924407959
1658790116674752,0.1062638284885935,0.9774929427023729,-0.009643701838712104,0.6559839248657227
1658790116690752,0.10308995193408066,0.9960479133287556,-0.019043259327077067,0.6719839572906494
1658790116706751,0.10589761196307279,1.0053864347295338,-0.023926146334019904,0.6879830360412598
1658790116722751,0.10785076676584993,0.9896391241321432,-0.016235599298084935,0.7039828300476074
1658790116738751,0.107545586327916,0.9850003814755475,-0.004943923094529623,0.7199828624725342
1658790116754751,0.10724040588998207,0.9892118715190357,-0.004516670481422125,0.7359828948974609
1658790116770751,0.1071183337148085,0.987685969329366,-0.011474784466315668,0.7519829273223877
1658790116786750,0.11187914854657777,1.004165712977798,-0.017883573662928143,0.767982006072998
1658790116802750,0.11346608682383419,1.0245517662317845,-0.023620965896085977,0.7839820384979248
1658790116818750,0.11316090638590026,1.0131990539406424,-0.02209506370641634,0.7999818325042725
1658790116834750,0.11413748378728883,0.9807278553444725,-0.00970473792629889,0.8159818649291992
1658790116850750,0.10724040588998207,0.9783474479285879,-0.008789196612497108,0.831981897354126
1658790116866749,0.10412756542305601,1.0017853055619135,-0.024597543297474544,0.8479809761047363
1658790116882749,0.10638590066376707,1.0059967956054017,-0.03717097734035235,0.8639810085296631
1658790116898749,0.10901045242999885,1.0099641412985427,-0.03704890516517878,0.8799810409545898
1658790116914749,0.11395437552452847,1.0108796826123445,-0.025085831998168828,0.8959808349609375
1658790116930749,0.11841000991836381,0.993667505912871,-0.0060425726710917615,0.9119808673858643
1658790116946748,0.1167620355535206,0.9846341649500268,0.0009765774013885675,0.9279799461364746
1658790116962748,0.11389333943694169,0.9943389028763256,-0.012329289692530665,0.9439799785614014
1658790116978729,0.11523613336385097,1.0106965743495842,-0.028503852903028815,0.9599609375
1658790116994729,0.11908140688181845,1.0114900434882124,-0.027710383764400603,0.9759609699249268
1658790117010728,0.11657892729076025,0.9909819180590524,-0.012878614480811734,0.991959810256958
