Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y
1,955.9408569,936.0689697,709.2785645,1016.062622,265.454132,1007.5,494.791992,1011.61401
2,955.9408569,936.0689697,709.2785645,1016.062622,265.454132,1007.5,494.791992,1011.61401
3,956.3857422,935.6448364,710.0830078,1015.81134,265.454132,1007.5,495.144806,1011.46722
4,956.3857422,935.6448364,710.0830078,1015.81134,265.477264,1007.45453,494.716064,1011.63458
5,956.3857422,935.6448364,710.0830078,1015.81134,265.29245,1007.45752,494.791992,1011.61401
6,956.3857422,935.6448364,710.0830078,1015.81134,265.29245,1007.45752,494.57251,1011.66919
7,956.1036987,935.2370605,710.0707397,1015.532349,265.399994,1007.47498,494.716064,1011.63458
8,956.1036987,935.2370605,710.0702515,1015.569031,265.449493,1007.5,494.644104,1011.6441
9,955.9944458,934.666687,710.1082764,1015.453796,265.420227,1007.69861,494.716064,1011.63458
10,956.227417,934.5,710.0995483,1015.527588,265.775543,1007.3233,494.791992,1011.61401
11,956.227417,934.5,710.1082764,1015.453796,265.813263,1007.2478,494.857513,1011.62341
12,956.227417,934.5,710.1082764,1015.453796,265.745209,1007.31586,494.929688,1011.49219
13,956.227417,934.5,710.1761475,1015.258545,265.745209,1007.31586,494.64859,1011.64856
14,956.1582642,934.6008301,710.1761475,1015.258545,265.599274,1007.57556,494.359528,1011.52856
15,956.2944946,934.842041,710.1761475,1015.258545,265.538879,1007.51483,494.359528,1011.52856
16,956.2506104,934.852417,710.1761475,1015.258545,265.423431,1007.60181,494.359528,1011.52856
17,956.2506104,934.852417,710.1761475,1015.258545,265.423431,1007.60181,494.359528,1011.52856
18,956.2506104,934.852417,710.1761475,1015.258545,265.423431,1007.60181,494.359528,1011.52856
19,956.2506104,934.852417,710.1761475,1015.258545,265.423431,1007.60181,494.359528,1011.52856
20,956.2506104,934.852417,710.1761475,1015.258545,265.423431,1007.60181,494.359528,1011.52856
21,956.2782593,935.5,709.9012451,1015.917297,265.423431,1007.60181,494.429565,1011.50702
22,956.2782593,935.5,709.9012451,1015.917297,265.423431,1007.60181,494.291077,1011.52112
23,956.2782593,935.5,709.9012451,1015.917297,265.423431,1007.60181,494.359528,1011.52856
24,956.3817139,936.2601318,710.0635376,1016.411377,265.486633,1007.58466,494.291077,1011.52112
25,956.5,936.5,709.9897461,1016.320801,265.60257,1007.49817,494.291077,1011.52112
26,956.5,936.5,710.0504761,1016.377075,265.666656,1007.49274,494.165436,1011.63989
27,956.6535645,936.2954102,710.105957,1016.732117,265.750458,1007.60895,494.359528,1011.52856
28,956.6739502,936.5,710.2329712,1016.856995,265.797546,1007.63,494.359528,1011.52856
29,956.6739502,936.5,710.2329712,1016.856995,265.797546,1007.63,494.359528,1011.52856
30,956.6739502,936.5,710.2570801,1016.927185,265.735382,1007.68555,494.359528,1011.52856
31,956.7791138,937.0935059,710.2570801,1016.927185,265.735382,1007.68555,494.359528,1011.52856
32,957.1495361,937.0195923,710.2570801,1016.927185,265.735382,1007.68555,494.359528,1011.52856
33,957.1495361,937.0195923,710.2520142,1016.888916,265.735382,1007.68555,494.359528,1011.52856
34,957.1495361,937.0195923,710.2520142,1016.888916,265.735382,1007.68555,494.359528,1011.52856
35,957.1495361,937.0195923,710.2520142,1016.888916,265.735382,1007.68555,494.359528,1011.52856
36,957.1495361,937.0195923,710.2520142,1016.888916,265.735382,1007.68555,494.359528,1011.52856
37,957.1495361,937.0195923,710.2520142,1016.888916,265.735382,1007.68555,494.359528,1011.52856
38,957.1495361,937.0195923,710.2520142,1016.888916,265.735382,1007.68555,494.359528,1011.52856
39,957.1495361,937.0195923,710.2520142,1016.888916,265.735382,1007.68555,494.359528,1011.52856
40,957.1495361,937.0195923,710.2570801,1016.927185,265.735382,1007.68555,494.359528,1011.52856
41,956.9735107,937.0353394,710.2570801,1016.927185,265.735382,1007.68555,494.359528,1011.52856
42,956.9735107,937.0353394,710.2570801,1016.927185,265.79422,1007.68878,494.359528,1011.52856
43,956.6925049,937.2598877,710.2520142,1016.888916,265.856659,1007.63385,494.429565,1011.50702
44,956.8748169,937.2990723,710.2520142,1016.888916,266.064362,1007.77228,494.429565,1011.50702
45,956.8748169,937.2990723,710.2520142,1016.888916,266.23468,1007.76532,494.429565,1011.50702
46,956.8748169,937.2990723,710.2520142,1016.888916,266.23468,1007.76532,494.429565,1011.50702
47,956.8748169,937.2990723,710.2520142,1016.888916,266.23468,1007.76532,494.429565,1011.50702
48,957.2634888,937.4350586,710.2520142,1016.888916,266.220001,1007.65997,494.359528,1011.52856
49,957.2634888,937.4350586,710.2520142,1016.888916,266.23468,1007.76532,494.359528,1011.52856
50,957.2634888,937.4350586,710.2520142,1016.888916,266.227722,1007.60889,494.359528,1011.52856
51,957.3092651,937.6565552,710.2520142,1016.888916,266.220001,1007.65997,494.359528,1011.52856
52,957.4036865,937.7999878,710.2520142,1016.888916,266.196075,1007.55884,494.359528,1011.52856
53,957.4036865,937.7999878,710.2520142,1016.888916,266.3685,1007.63147,494.359528,1011.52856
54,957.3092651,937.6565552,710.2824707,1016.958191,266.3685,1007.63147,494.359528,1011.52856
55,957.4642944,937.8624268,710.4539185,1017.075623,266.515778,1007.44739,494.359528,1011.52856
56,957.5933228,937.9807129,710.489502,1017.144531,266.515778,1007.44739,494.359528,1011.52856
57,957.5652466,938.3804321,710.489502,1017.144531,266.515778,1007.44739,494.359528,1011.52856
58,957.5652466,938.3804321,710.489502,1017.144531,266.515778,1007.44739,494.359528,1011.52856
59,957.666687,938.4666748,710.835144,1017.320007,266.515778,1007.44739,494.359528,1011.52856
60,957.8066406,938.6856689,710.835144,1017.320007,266.515778,1007.44739,494.359528,1011.52856
61,957.8066406,938.6856689,710.8091431,1017.204468,266.515778,1007.44739,494.716064,1011.63458
62,957.7374878,938.7967529,710.8091431,1017.204468,266.515778,1007.44739,494.716064,1011.63458
63,957.7374878,938.7967529,711.2426758,1016.993347,266.515778,1007.44739,494.716064,1011.63458
64,957.7753296,939.2000122,710.8091431,1017.204468,266.515778,1007.44739,494.716064,1011.63458
