Frame #,Green X,Green Y
1,498.70562744140625,1012.4458618164062
2,498.75970458984375,1013.0
3,498.8312683105469,1012.3621215820312
4,498.5,1012.5
5,498.3833312988281,1012.9966430664062
6,497.7628173828125,1013.150634765625
7,497.68975830078125,1013.2211303710938
8,497.4717102050781,1013.2767333984375
9,497.4717102050781,1013.2767333984375
10,497.1408996582031,1013.140869140625
11,497.1687316894531,1012.6378784179688
12,497.1687316894531,1012.6378784179688
13,497.1687316894531,1012.6378784179688
14,497.0,1012.7597045898438
15,497.1687316894531,1012.6378784179688
16,497.1408996582031,1013.140869140625
17,497.1687316894531,1012.6378784179688
18,497.2255859375,1013.1582641601562
19,496.94622802734375,1012.6307983398438
20,496.94622802734375,1012.6307983398438
21,497.50909423828125,1013.42724609375
22,497.50909423828125,1013.42724609375
23,497.2690734863281,1012.6466064453125
24,496.94622802734375,1012.6307983398438
25,497.06536865234375,1012.0882568359375
26,497.0628967285156,1011.9371337890625
27,497.2021789550781,1011.5901489257812
28,497.2021789550781,1011.5901489257812
29,497.2021789550781,1011.5901489257812
30,497.2021789550781,1011.5901489257812
31,497.2429504394531,1011.7288208007812
32,497.2429504394531,1011.7288208007812
33,497.2150573730469,1011.524169921875
34,497.2150573730469,1011.524169921875
35,497.2150573730469,1011.7849731445312
36,497.2150573730469,1011.7849731445312
37,496.4757995605469,1011.7849731445312
38,496.4757995605469,1011.7849731445312
39,496.2677917480469,1011.67236328125
40,496.2677917480469,1011.67236328125
41,496.31024169921875,1012.1550903320312
42,496.31024169921875,1012.1550903320312
43,496.31024169921875,1012.1550903320312
44,496.31024169921875,1012.1550903320312
45,496.31024169921875,1012.1550903320312
46,496.31024169921875,1012.1550903320312
47,496.3333435058594,1012.897705078125
48,496.325927734375,1012.977783203125
49,496.325927734375,1012.977783203125
50,496.325927734375,1012.977783203125
51,496.5113525390625,1013.0985107421875
52,496.5113525390625,1013.0985107421875
53,496.5113525390625,1013.0985107421875
54,496.5113525390625,1013.0985107421875
55,496.3824462890625,1013.329833984375
56,496.3824462890625,1013.329833984375
57,496.3824462890625,1013.329833984375
58,496.3824462890625,1013.329833984375
59,496.3824462890625,1013.329833984375
60,496.3824462890625,1013.329833984375
61,496.3824462890625,1013.329833984375
62,496.3824462890625,1013.329833984375
63,496.59356689453125,1013.114013671875
64,496.6609191894531,1013.1293334960938
65,496.59356689453125,1013.114013671875
