Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,Head Pink X,Head Pink Y,Timestamp (microseconds)
1.0,969.5578003,900.4898071,725.0014648,993.9735718,498.7056274,1012.445862,292.3933105,994.8659668,1658789494000000.0
2.0,969.3657227,900.8137817,724.8354492,993.9742432,498.7597046,1013.0,289.727417,994.5,1658789494016666.8
3.0,969.4396973,901.2098999,724.7966309,993.7966309,498.8312683,1012.362122,286.6758118,993.8964844,1658789494033333.2
4.0,969.7782593,902.2120972,724.9434814,994.1469116,498.5,1012.5,284.2896423,993.0825195,1658789494050000.0
5.0,969.6955566,902.8485107,724.8248901,994.880188,498.3833313,1012.996643,281.9363403,992.5862427,1658789494066666.5
6.0,969.7652588,903.2347412,725.0516357,994.8421631,497.7628174,1013.150635,280.188324,990.6616821,1658789494083333.2
7.0,969.9661255,903.671875,724.642395,995.0372314,497.6897583,1013.22113,278.3815918,989.1342163,1658789494100000.0
8.0,969.6464844,904.1115112,724.642395,995.0372314,497.4717102,1013.276733,277.2078247,988.3346558,1658789494116666.5
9.0,969.6097412,905.0189819,724.642395,995.0372314,497.4717102,1013.276733,275.9589844,987.7666626,1658789494133333.5
10.0,969.4268188,905.055542,723.6129761,995.015564,497.1408997,1013.140869,275.3469543,986.1040649,1658789494150000.0
11.0,969.4268188,905.055542,723.3048706,995.2432861,497.1687317,1012.637878,274.6331787,984.8143311,1658789494166666.8
12.0,969.4268188,905.055542,723.3048706,995.2432861,497.1687317,1012.637878,274.1607361,982.8392334,1658789494183333.5
13.0,969.3092651,905.3434448,723.2023315,995.5778809,497.1687317,1012.637878,273.5698547,981.0625,1658789494200000.0
14.0,969.3092651,905.3434448,723.2023315,995.5778809,497.0,1012.759705,273.5,980.0,1658789494216666.8
15.0,969.1018677,905.5,723.1364746,996.0430908,497.1687317,1012.637878,272.6340942,979.7644043,1658789494233333.2
16.0,969.1018677,905.5,722.9262695,996.4547119,497.1408997,1013.140869,271.6938171,980.0925903,1658789494250000.0
17.0,968.8193359,905.420166,723.2024536,996.7397461,497.1687317,1012.637878,270.3979187,980.9319458,1658789494266666.8
18.0,968.5085449,905.5875854,723.2024536,996.7397461,497.2255859,1013.158264,269.5698547,982.0625,1658789494283333.2
19.0,968.5085449,905.5875854,723.2024536,996.7397461,496.946228,1012.630798,268.0984497,984.6749878,1658789494300000.0
20.0,968.5,905.8267212,723.2024536,996.7397461,496.946228,1012.630798,267.2558289,987.2558594,1658789494316666.5
21.0,967.9437866,906.111084,723.2024536,996.7397461,497.5090942,1013.427246,265.4648438,990.8710938,1658789494333333.2
22.0,967.9437866,906.111084,723.0648804,996.6165161,497.5090942,1013.427246,264.5,994.5,1658789494350000.0
23.0,967.6097412,905.9810181,722.9262695,996.4547119,497.2690735,1012.646606,262.348877,996.2089844,1658789494366666.5
24.0,967.6097412,905.9810181,722.9262695,996.4547119,496.946228,1012.630798,260.348877,994.2089844,1658789494383333.5
25.0,967.4386597,906.2843018,722.9348755,996.4077759,497.0653687,1012.088257,258.8789063,990.8789063,1658789494400000.0
26.0,967.4386597,906.2843018,722.9348755,996.4077759,497.0628967,1011.937134,259.3729248,991.0166016,1658789494416666.8
27.0,967.5,906.0680542,722.7886353,996.697876,497.202179,1011.590149,260.4918823,993.586792,1658789494433333.5
28.0,967.262207,906.0988159,722.8779297,996.855957,497.202179,1011.590149,261.0,994.5,1658789494450000.0
29.0,967.3902588,905.9810181,722.8779297,996.855957,497.202179,1011.590149,261.0,994.5,1658789494466666.8
30.0,967.262207,906.0988159,722.8779297,996.855957,497.202179,1011.590149,261.1385498,995.1673584,1658789494483333.2
31.0,967.5,906.0680542,722.8779297,996.855957,497.2429504,1011.728821,261.0611877,995.9387817,1658789494500000.0
32.0,967.6022949,906.5908813,722.8779297,996.855957,497.2429504,1011.728821,260.8356323,996.2872314,1658789494516666.8
33.0,967.6097412,907.0189819,723.2770386,996.8666382,497.2150574,1011.52417,260.5297852,996.3252563,1658789494533333.2
34.0,967.7078857,907.5500488,723.2770386,996.8666382,497.2150574,1011.52417,260.5,996.5,1658789494550000.0
35.0,967.7078857,907.5500488,723.2770386,996.8666382,497.2150574,1011.784973,260.5,996.5,1658789494566666.5
36.0,968.0391235,907.4395752,723.1680908,996.9507446,497.2150574,1011.784973,260.5,996.5,1658789494583333.2
37.0,968.2032471,907.6120605,723.1680908,996.9507446,496.4757996,1011.784973,261.0,996.5,1658789494600000.0
38.0,968.2032471,907.6120605,723.0209351,997.1422729,496.4757996,1011.784973,261.0,996.5,1658789494616666.5
39.0,968.3892822,907.8970947,723.0209351,997.1422729,496.2677917,1011.672363,261.1498718,996.9767456,1658789494633333.5
40.0,968.4250488,908.324707,723.0123291,997.2304688,496.2677917,1011.672363,261.4263611,997.065918,1658789494650000.0
41.0,968.5,908.5,722.9240723,997.3375244,496.3102417,1012.15509,261.6691589,997.1260986,1658789494666666.8
42.0,968.3853149,908.9125366,723.1226807,997.5706787,496.3102417,1012.15509,261.6998596,997.8539429,1658789494683333.5
43.0,968.5,909.0330811,723.3052368,997.8388062,496.3102417,1012.15509,262.3420715,998.0291138,1658789494700000.0
44.0,968.5,909.1699829,723.0900269,998.2510986,496.3102417,1012.15509,262.5,998.5,1658789494716666.8
45.0,968.7653809,909.7061768,723.3118896,998.272644,496.3102417,1012.15509,262.731781,998.565918,1658789494733333.2
46.0,968.7653809,909.7061768,723.206665,998.2198486,496.3102417,1012.15509,262.9481201,998.7609863,1658789494750000.0
47.0,968.6856689,909.8066406,723.0341187,998.4987183,496.3333435,1012.897705,262.9690247,999.1784668,1658789494766666.8
48.0,968.5,910.5,723.0112915,998.5426025,496.3259277,1012.977783,263.3678589,999.1102295,1658789494783333.2
49.0,968.6195679,911.3695679,723.0271606,998.7286987,496.3259277,1012.977783,264.1210938,999.1210938,1658789494800000.0
50.0,968.8884888,911.6464844,722.9219971,998.8666382,496.3259277,1012.977783,264.4300232,999.1500854,1658789494816666.5
